"title","description","quote","footer"
" Tammy Baldwin "," stated on January 21, 2024 in X, formerly Twitter: "," Biden won’t face charges in classified documents case "," By Louis Jacobson • February 9, 2024 "
" Elon Musk "," stated on February 2, 2024 in an X post: "," “Wisconsin had over 1,400 opioid overdose deaths in 2022.” "," By Maria Briceño • February 9, 2024 "
" Facebook posts "," stated on January 11, 2024 in una publicación en Facebook: "," Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.” "," By D.L. Davis • February 9, 2024 "
" Instagram posts "," stated on January 26, 2024 in an Instagram post: "," ""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"". "," By Grace Abels • February 8, 2024 "
" Donald Trump "," stated on February 5, 2024 in an appearance on Dan Bongino's show: "," ""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860. "," By Sofia Ahmed • February 8, 2024 "
" Tammy Baldwin "," stated on January 21, 2024 in X, formerly Twitter: "," In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56."" "," By Marta Campabadal Graus • February 8, 2024 "
" Elon Musk "," stated on February 2, 2024 in an X post: "," “Wisconsin had over 1,400 opioid overdose deaths in 2022.” "," By Madison Czopek • February 8, 2024 "
" TikTok posts "," stated on February 5, 2024 in en una publicación en TikTok "," Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.” "," By Sofia Ahmed • February 8, 2024 "
" Robin Vos "," stated on January 7, 2024 in TV interview "," ""El Senado de EE. UU. ha dado luz verde a un acuerdo que cierra inmediatamente las fronteras del país y limitará todas las peticiones de asilo y apelaciones”. "," By Loreben Tuquero • February 8, 2024 "
" Viral image "," stated on February 6, 2024 in a Facebook post "," “The law in Wisconsin (on abortion time limit) is 20 weeks. That is way outside the international bounds.” "," By Madison Czopek • February 8, 2024 "
" Instagram posts "," stated on February 4, 2024 in an Instagram post "," Ben Shapiro posted that Tracy Chapman stole “the spotlight from Luke (Combs)” at the Grammys as part of “the woke war on straight white male success” "," By Kwasi Gyamfi Asiedu • February 8, 2024 "
" Kamala Harris "," stated on January 29, 2024 in an interview with Univision Noticias "," Video shows “Putin refused to acknowledge Netanyahu.” "," Biden unveils new round of incremental student loan relief | October 10, 2023 "
" Tucker Carlson "," stated on February 6, 2024 in a video posted on X. "," Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration. "," Joe Biden keeps promise to raise refugee admissions to 125,000 | July 6, 2023 "
" Instagram posts "," stated on January 31, 2024 in an Instagram post "," Since Russia invaded Ukraine, “not a single Western journalist has bothered to interview Putin.” "," Biden announces more than $42 billion for states to invest in high-speed internet | July 6, 2023 "
" Instagram posts "," stated on January 30, 2024 in an Instagram post "," The presence of soft tissue and carbon-14 in dinosaur bones proves they lived “only a few thousand years” ago, not millions of years ago. "," Biden keeps promise on Justice Department police investigations, including Minneapolis probe | June 16, 2023 "
" Jesse Watters "," stated on January 31, 2024 in a segment of ""Jesse Watters Primetime"" on Fox News "," “George Soros worked for Hitler. Klaus Schwab’s father also worked for Hitler.” "," Following Tyre Nichols’ death, Biden reiterates call for police reform | January 27, 2023 "
" Instagram posts "," stated on January 30, 2024 in a video "," “We think the Earth’s warming” because “we’re literally cooking the books” with flawed temperature data. "," By Amy Sherman • February 6, 2024 "
" Joe Biden ","   "," President Joe Biden admitted to using the Justice Department to pursue his political foes. "," By Marta Campabadal Graus • February 6, 2024 "
" Joe Biden ","   "," Forgive student loan debt from public colleges and universities "," By Jeff Cercone • February 6, 2024 "
" Joe Biden ","   "," Increase refugee admissions "," By Louis Jacobson • February 6, 2024 "
" Joe Biden ","   "," Expand broadband, or wireless broadband via 5G, to every American "," By Laura Schulte • February 6, 2024 "
" Joe Biden ","   "," Expand Justice Department power to address police misconduct ","-"
" Elon Musk "," stated on February 2, 2024 in an X post "," Use a national commission to address policing issues ","-"
" Facebook posts "," stated on January 11, 2024 in una publicación en Facebook "," Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.” ","-"
" Instagram posts "," stated on January 26, 2024 in an Instagram post "," ""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"". ","-"
" Donald Trump "," stated on February 5, 2024 in an appearance on Dan Bongino's show "," ""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860. ","-"
" Tammy Baldwin "," stated on January 21, 2024 in X, formerly Twitter "," In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56."" ","-"
"-","-"," “Wisconsin had over 1,400 opioid overdose deaths in 2022.” ","-"